Girish,date unknown ,,G9-Stars,,,,,
Godwin Joseph,date unknown ,,Wellcare Warriors,,,,,
Gopal Neerpaje,date unknown ,,Asian Falcon,,,,,
Gopan,date unknown ,,AMCC Ajman,,,,,
Gopankumar,November 11  1985 ,32 years 148 days,AMCC Ajman,,,,,
Goutam,date unknown ,,Cousins CC,,,,,
Gufran Shaizad,date unknown ,,BMCC Dubai,,,,,
Gulam,date unknown ,,DIB Stars,,,,,
Gulam,date unknown ,,Dream Killers,,,,,
Gulfaraz Ahmed,date unknown ,,SS Lootah Spinners,,,,,
Gul Waheed,date unknown ,,AL Naboodah Tigers,,,,,
Gul Zaib,date unknown ,,AL Naboodah Tigers,,,,,
Asanka Manjula Guruge,February 14  1981  Ambalangoda ,37 years 53 days,United Arab Emirates ,Bowler,Right-hand bat,Left-arm fast-medium,,
Habib,date unknown ,,SP Warriors,,,,,
Habibullah,date unknown ,,SP Warriors,,,,,
Hadaat Ullah,date unknown ,,Averda,,,,,
Hafiz,date unknown ,,Friends 4 Ever,,,,,
Hafiz Muhammad,date unknown ,,Scorpions,,,,,
Hafiz Qaleem,date unknown ,,United Arab Emirates,,,,,
Haider,date unknown ,,Pakhtoon XI,,,,,
Haja Sadiq,date unknown ,,Rocking Stars,,,,,
Hajumudeen,date unknown ,,Ball Burners,,,,,
Hakeem,date unknown ,,Peshawar Zalmi (UAE),,,,,
Hakeem,date unknown ,,Singham CC,,,,,
Hakeem,date unknown ,,Dolmen Tourism,,,,,
Hakeen,date unknown ,,Abu Dhabi United,,,,,
Hakim,date unknown ,,United 53,,,,,
Haleem Khan,date unknown ,,Al Jaber Blazer,,,,,
Hamdan,date unknown ,,Bolt CC,,,,,
Hamid Mukhtar,August 23  1961  Lahore ,56 years 228 days,,,,,Umpire,
Hamid Shameer,date unknown ,,Enoc,,,,,
Hammad,date unknown ,,Coca Cola,,,,,
Hammad,date unknown ,,Coca Cola,,,,,
Hamsa,January 3  1983 ,35 years 95 days,AMCC Ajman,,,,,
Hamza,date unknown ,,DIB Stars,,,,,
Hamza,date unknown ,,Star CC,,,,,
Hamza,date unknown ,,Etisalat Royals,,,,,
Hamza,date unknown ,,Bolt CC,,,,,
Hamza,date unknown ,,AFS,,,,,
Hamza,date unknown ,,CC Boys,,,,,
Hamza Ayub,date unknown ,,TOC Tigers,,,,,
Hamza Ayub,date unknown ,,Asian Tigers,,,,,
Hamza Bashir,date unknown ,,DHL Sharjah,,,,,
Hardik Kumar,date unknown ,,Ultimate Fighters,,,,,
Hardik Darji,date unknown ,,Duke Boys,,,,,
Hari,date unknown ,,Falcons,,,,,
Hari,date unknown ,,Cobras (UAE),,,,,
Hari,date unknown ,,Cobras (UAE),,,,,
Hari,date unknown ,,Technialabs Falcons,,,,,
Harish,date unknown ,,Abela and Co,,,,,
Harish,date unknown ,,DBMSC B,,,,,
Harish,date unknown ,,DBMSC B,,,,,
Harish,date unknown ,,Infinity,,,,,
Haris Achi,date unknown ,,Asian Falcon,,,,,
Haroon,date unknown ,,The Challengers,,,,,
Haroon,date unknown ,,Peshawar Zalmi (UAE),,,,,
Haroon,date unknown ,,Dolmen Tourism,,,,,
Haroon Iftikhar,April 7  1982  Sialkot  Pakistan ,36 years 1 days,United Arab Emirates ,,Left-hand bat,Right-arm offbreak,,
Haroon Rasheed,January 18  1982  Pakistan ,36 years 80 days,The Champs,,,,,
Haroon Rashid,date unknown ,,Dubai Zalmi,,,,,
Harpreet,date unknown ,,Metro Hotel Cricket Team,,,,,
