Kulwinder,date unknown ,,Al Futtaim Carillion,,,,,
Kumail,date unknown ,,Scorpions,,,,,
Kumail Feyzee,date unknown ,,Eleven Aces,,,,,
Kumar,date unknown ,,DBMSC B,,,,,
Kumar,date unknown ,,Al Jaber Plus Friends,,,,,
Ravi Kumar,December 11  1981  India ,36 years 118 days,United Arab Emirates,,Right-hand bat,Right-arm offbreak,,
Kumara,date unknown ,,DBMSC A,,,,,
Kunal,date unknown ,,Abela and Co,,,,,
Kunal,date unknown ,,Duke Boys,,,,,
Kunal Shah,date unknown ,,DXB Panthers,,,,,
Kundan,date unknown ,,Al Futtaim Carillion,,,,,
KM Kunhabdulla,date unknown ,,Payyanur Rockers,,,,,
Kurian,date unknown ,,United XI,,,,,
Kushal,date unknown ,,Super Dream Boys,,,,,
Lakmal Asanka,date unknown ,,Emicool,,,,,
Lalit,December 14  1975 ,42 years 115 days,Park-N-Shop,,,,,
Lalit,date unknown ,,Park-N-Shop,,,,,
Lalit,date unknown ,,Blue Warriors,,,,,
Lalit,date unknown ,,Park-N-Shop,,,,,
Lawrence,date unknown ,,Blighty Ducks,,,,,
Laxman,date unknown ,,Modern Plastics,,,,,
Laxmi Har,date unknown ,,Specialist Players,,,,,
Lekhraj,date unknown ,,,,,,Umpire,
Lelwin,date unknown ,,Super Dream Boys,,,,,
Leslie,date unknown ,,Khaleej Times,,,,,
Leslie,date unknown ,,Ball Burners,,,,,
Leslie Daniel,October 6  1977  Dindigul  Tamil Nadu  India ,40 years 184 days,Arenco IT,,,,,
Liaqat Ali,date unknown ,,Al Jeer CC,,,,,
Libin,date unknown ,,AL Ghurair Construction,,,,,
Liju,date unknown ,,Emrill Cricket Club,,,,,
Likin,date unknown ,,Dutco Construction LLC,,,,,
Likith Bidappa,date unknown ,,Ultimate Fighers,,,,,
Linka,date unknown ,,DHL United,,,,,
Liston,date unknown ,,Rangers,,,,,
Lloyd,date unknown ,,Blue Strikers,,,,,
Niel Rohan Lobo,date unknown ,,United Arab Emirates Under-19s,,,,,
Loklal,date unknown ,,AU Finja,,,,,
Loknath,date unknown ,,DG Cheetahs,,,,,
Louis,date unknown ,,Naik Riders Junior,,,,,
Luiqman,date unknown ,,Peshawar Zalmi (UAE),,,,,
Lukhbir,date unknown ,,Techrobotix,,,,,
Malik,date unknown ,,DBMSC A,,,,,
MK Asif,date unknown ,,Al Gurg CC,,,,,
Maag Ali,date unknown ,,Averda,,,,,
Madhu,date unknown ,,The Westin Cricketers,,,,,
Madhu,date unknown ,,The All Blacks,,,,,
Madhura,date unknown ,,Metro Hotel Cricket Team,,,,,
Madhu Aravind,date unknown ,,DIC Fighters,,,,,
Mahammad Selim,February 25  1978  India ,40 years 42 days,DXB Warriors,,,,,
Mahendran,date unknown ,,Arenco IT,,,,,
Mahesh,date unknown ,,Abela and Co,,,,,
Mahesh,date unknown ,,SOL Group,,,,,
Mahesh,date unknown ,,Abela and Co,,,,,
Mahesh,date unknown ,,SOL Group,,,,,
Mahesh,date unknown ,,Infinity,,,,,
Mahesh,date unknown ,,UAE Super Kings,,,,,
Mahesh,date unknown ,,AWR 2,,,,,
Mahesh Paliyathuparambil,date unknown ,,UAE Super Kings,,,,,
Mahmood,date unknown ,,Coca Cola,,,,,
Mahmood Pir Baksh,October 25  1976  Dubai ,41 years 165 days,United Arab Emirates,,Right-hand bat,Slow left-arm chinaman,,
Mahmudul Hasan,date unknown ,,Summit,,,,,
Maisam Zaidi,date unknown ,,Alec Warriors,,,,,
Maisam Zaidi,date unknown ,,Alec,,,,,
Majeed Ullah,date unknown ,,Dubai Tigers 11,,,,,
Majeed Ullah,date unknown ,,Dubai Tigers,,,,,
Majeen,date unknown ,,Air Arabia,,,,,
Majid,date unknown ,,Coca Cola,,,,,
Majid,date unknown ,,Naik Riders Junior,,,,,
Majid,date unknown ,,Al Mumtaz,,,,,
Majid,date unknown ,,Ahmed Star CC,,,,,
Majid,date unknown ,,Naik Cricketers,,,,,
Majid Khan,date unknown ,,Players CC,,,,,
Majid Khan,date unknown ,,Friends CC,,,,,
Majid Hussain,date unknown ,,Dubai Municipality,,,,,
Majid Khan,date unknown ,,Pharmatarde,,,,,
Majid Tazhir,February 5  1996  Ajman UAE ,22 years 62 days,Butt XI,,,,,
Majid Tazhir,date unknown ,,Butt XI,,,,,
Majjan,date unknown ,,Leopards,,,,,
Majo,date unknown ,,Icons,,,,,
Makhan,date unknown ,,Metro CC,,,,,
Chirag Makhija,September 21  1994 ,23 years 199 days,HW University Dubai (UAE),,Right-hand bat,,,
Malik Imran,date unknown ,,Stallions,,,,,
Malik Imran,date unknown ,,Stallions,,,,,
Malik Waqas,date unknown ,,Alec,,,,,
Malinda,date unknown ,,Lions of the Desert,,,,,
Malinga,date unknown ,,Friends 4 Ever,,,,,
Ishni Senavirthna Mananelage,August 11  1988  Sri Lanka ,29 years 240 days,United Arab Emirates Women,,,,,
Mandar,date unknown ,,Naik Riders Junior,,,,,
Mandar,date unknown ,,Naik Cricketers,,,,,
Mani,date unknown ,,DIC Fighters,,,,,
Mani,date unknown ,,Super Dream Boys,,,,,
Manikandan,April 16  1980 ,37 years 357 days,AMCC Ajman,,,,,
Manikandan,date unknown ,,AMCC Ajman,,,,,
Manish,date unknown ,,Dubai Indians,,,,,
Manish,date unknown ,,Hawks (UAE),,,,,
Manjeet,date unknown ,,RAK Bullet,,,,,
Manmoud,date unknown ,,Peshawar Zalmi (UAE),,,,,
Mann,date unknown ,,Discovery Garden,,,,,
Mann,date unknown ,,DG Cheetahs,,,,,
Mannan,date unknown ,,Wonderlads,,,,,
Mannan,date unknown ,,Wonderlads,,,,,
Manoj,date unknown ,,Renegades,,,,,
Manoj,date unknown ,,Evergreen,,,,,
Manoj,date unknown ,,Nice Lead,,,,,
Manoj,date unknown ,,Evergreen,,,,,
Manoj,date unknown ,,Renegades,,,,,
Manoj,date unknown ,,United XI,,,,,
Manoj Bhaskarn,date unknown ,,Alec,,,,,
Manoj Cherian,date unknown ,,Nico International,,,,,
Manoj Madhukar,date unknown ,,Asian Falcon,,,,,
Manoranjan Sahoo,date unknown ,,Anantara Falcons,,,,,
Mansoor,date unknown ,,Scorpions,,,,,
Mansoor Hassan,April 25  1982  Pakistan ,35 years 348 days,DXB Warriors,,,,,
Mansoor Pasha,December 8  1960  Karachi ,57 years 121 days,,,,,Referee,
Maqbool,date unknown ,,Ratnagiri Riders Cricket,,,,,
Maqsood,date unknown ,,Discovery Garden,,,,,
Maqsood,date unknown ,,Dubai Tigers 11,,,,,
Maqsood,date unknown ,,Pakhtoon XI,,,,,
Maqsood Shahid,date unknown ,,Dubai Tigers,,,,,
Maqsood Zaheer,date unknown ,,,,,,,
Maria,date unknown ,,Naik Riders Junior,,,,,
Maria,date unknown ,,Naik Cricketers,,,,,
Maria Jim,date unknown ,,Veerans,,,,,
Mario,date unknown ,,Khaleej Times,,,,,
Marlom,date unknown ,,Lions of the Desert,,,,,
Martin Xavier,date unknown ,,PCC,,,,,
Brandon Martis,date unknown ,,UAE Blues,,,,,
Maruf Hussain,date unknown ,,DHL United,,,,,
A Marvu,date unknown ,,United Arab Emirates,,,,,
Masom,date unknown ,,Dream Killers,,,,,
Masood,date unknown ,,SFS,,,,,
Mateen,date unknown ,,DBMSC B,,,,,
Mateen Mahmood,date unknown ,,Anantara Falcons,,,,,
Mathai John,date unknown ,,Pharmatarde,,,,,
Mati-ullah Khan,date unknown ,,Emirates Cricket Board XI,,,,,
Matloob,date unknown ,,Khiladi,,,,,
Mayank,date unknown ,,Bafco,,,,,
Mayank,date unknown ,,Adam Global Dubai,,,,,
Mayank Chopra,date unknown ,,Gujarat Lions,,,,,
Mayank Chopra,date unknown ,,Gujarat Lions (UAE),,,,,
Mayoor,date unknown ,,Bafco,,,,,
Mayur,date unknown ,,Dubai Indians,,,,,
Sheikh Mazhar Hussain,October 25  1967  Lahore  Punjab  Pakistan ,50 years 165 days,United Arab Emirates ,,Right-hand bat,Legbreak,Brother - ,
Mebin,date unknown ,,Techrobotix,,,,,
Mehboub,date unknown ,,RAK Bullet,,,,,
Vijay Mehra,October 17  1963  New York  United States of America ,54 years 173 days,United Arab Emirates,,Right-hand bat,,Wicketkeeper,
Mehroz Khan,September 17  1988  Lahore  Punjab  Pakistan ,29 years 203 days,United Arab Emirates ,,Left-hand bat,Slow left-arm orthodox,,
Mehtab,date unknown ,,Al Jaber Plus Friends,,,,,
Mehtab Ali,date unknown ,,United Arab Emirates Under-17s ,,,,,
Karthik Palaniapan Meiyappan,October 8  2000 ,17 years 182 days,United Arab Emirates Under-19s,,Right-hand bat,Legbreak,,
Mejo,date unknown ,,Icons,,,,,
Melcom,date unknown ,,Naik Riders,,,,,
Melvin,date unknown ,,Blue Strikers,,,,,
Meraj Khan,date unknown ,,BMCC Dubai,,,,,
Merric,date unknown ,,Wonderlads,,,,,
Merrick,date unknown ,,Wonderlads,,,,,
Merwin,date unknown ,,Blue Strikers,,,,,
Mestiyage Don,date unknown ,,DHL Sharjah,,,,,
M Hussain,date unknown ,,Khiladi,,,,,
Midhun Kannan,date unknown ,,UAE Super Kings,,,,,
Milan,April 16  1989 ,28 years 357 days,Park-N-Shop,,,,,
Milan,date unknown ,,Park-N-Shop,,,,,
Milan,date unknown ,,Renegades,,,,,
Miraj Khaliq,January 1  1981  Sharjah ,37 years 97 days,United Arab Emirates,,Left-hand bat,Right-arm medium,,
Mirza Khizer,date unknown ,,Shagarah Panthers,,,,,
Misal Khan,date unknown ,,Giffin Traffiks,,,,,
Prem Mishra,1955 ,,United Arab Emirates,,,,Umpire,
Krunalkumar Mistry,date unknown ,,Duke Boys,,,,,
Yogesh G. Mistry,October 28  1978  India ,39 years 162 days,United Arab Emirates,,Right-hand bat,Legbreak,,
Mithun Kumar,date unknown ,,Eagles,,,,,
Mithun Kumar,date unknown ,,Falcon XI,,,,,
Moaaz Ayub Qazi,October 15  1995  Abu Dhabi ,22 years 175 days,Abu Dhabi XI ,,Right-hand bat,Right-arm offbreak,,
Mobarok Hossin,date unknown ,,Systempack Ajman,,,,,
Mobeen,date unknown ,,Abu Dhabi United,,,,,
Mobin,date unknown ,,Heidelberg Warriors,,,,,
